AlunoID,Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
3,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"6,0","10,0","7,0",,,,"7,7",8,AM
3,DC/CCN047,ESTÁGIO SUPERVISIONADO,"9,5","9,5","9,5","9,5","9,5",,"9,5",0,AM
3,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"8,3","7,0","0,0",,,"9,4","7,2",14,AM
3,DC/CCN046,TRABALHO DE CONCLUSÃO DE CURSO I - TCC I,"10,0","10,0","10,0",,,,"10,0",0,AM
3,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"6,1","5,5","9,3",,,,"7,0",12,AM
3,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"8,0","8,2","5,8",,,,"7,3",8,AM
3,DC/CCN034,PROGRAMAÇÃO LINEAR,"6,0","7,0","10,0",,,,"7,7",0,AM
3,DEFE/CCE007,"RELAÇÕES ÉTNICO-RACIAIS, GÊNERO E DIVERSIDADE","9,0","9,0","9,0",,,,"9,0",0,AM
3,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"10,0","10,0","8,0",,,,"9,3",2,AM
3,DC/CCN042,COMPILADORES,"8,0","6,5","7,3",,,,"7,3",6,AM
3,DC/CCN032,COMPUTAÇÃO GRÁFICA,"8,5","7,7","9,9",,,,"8,7",4,AM
3,DC/CCN044,ENGENHARIA DE SOFTWARE II,"9,6","7,0","7,8",,,,"8,1",6,AM
3,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"7,5","4,8","7,5",,,"8,9","7,8",8,AM
3,DC/CCN040,SEGURANÇA EM SISTEMAS,"6,8","4,7","7,9",,,"3,6","5,0",4,RN
3,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"5,3","5,2","8,0",,,"6,0","6,1",4,AM
3,DMAT/CCN034,ÁLGEBRA LINEAR,"8,2","9,6","7,0",,,,"8,3",0,AM
3,DC/CCN039,ENGENHARIA DE SOFTWARE I,"6,0","6,0","10,0",,,,"7,3",8,AM
3,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"10,0","9,9","9,4",,,,"9,8",0,AM
3,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"6,0","9,2","8,3",,,,"7,8",12,AM
3,DC/CCN035,REDES DE COMPUTADORES,"9,0","6,7","8,7",,,,"8,1",4,AM
3,DC/CCN033,SISTEMAS OPERACIONAIS,"9,0","7,2","6,1",,,,"7,4",14,AM
3,DC/CCN030,TEORIA DA COMPUTAÇÃO,"4,9","8,1","8,0",,,,"7,0",6,AM
3,DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,5","6,0","7,5",,,,"7,0",0,AM
3,DC/CCN025,BANCO DE DADOS,"10,0","9,5","10,0",,,,"9,8",0,AM
3,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,4","5,0","10,0",,,,"8,1",0,AM
3,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"7,4","7,7","9,0",,,,"8,0",12,AM
3,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"6,4","4,4","6,6",,,"5,6","5,7",14,RN
3,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"10,0","6,0","9,0",,,,"8,3",0,AM
3,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"9,8","9,1","6,4",,,,"8,4",0,AM
3,DC/CCN029,CIRCUITOS DIGITAIS,"9,5","3,0","10,0",,,,"7,5",0,AM
3,DC/CCN022,ESTRUTURAS DE DADOS,"8,0","9,1","7,0",,,,"8,0",13,AM
3,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"10,0","9,3","8,3",,,,"9,2",8,AM
3,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","7,0",,,,"7,0",0,AM
3,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"9,0","8,5","10,0",,,,"9,2",0,AM
3,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"7,0","3,0","9,0",,,"3,9","5,1",0,RN
3,DC/CCN021,INFORMÁTICA E SOCIEDADE,"8,5","6,0","8,0",,,,"7,5",2,AM
3,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"7,0","8,0","8,1",,,,"7,7",0,AM
3,DC/CCN019,INTRODUÇÃO À LÓGICA,"6,0","9,0","5,9",,,,"7,0",11,AM
3,DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"9,0","9,0","7,0",,,,"8,3",8,AM
3,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"5,3","3,0","7,2",,,"9,1","7,2",10,AM
3,DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"9,0",,,,,,"9,0",2,AM
4,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"9,0","6,2","6,2",,,,"7,1",10,AM
4,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"10,0","10,0","10,0",,,,"10,0",10,AM
4,DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"8,0","8,6","7,0",,,,"7,9",6,AM
4,DC/CCN073,TÓPICOS EM PROGRAMAÇÃO,"8,0","6,6","4,0",,,"5,1","5,6",0,RN
4,DC/CCN081,VISÃO COMPUTACIONAL,"7,8","3,2","8,5",,,"6,1","6,3",0,AM
4,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"7,7","5,6","8,0",,,,"7,1",2,AM
4,DC/CCN055,FLUXOS EM REDES,"9,5","10,0","10,0",,,,"9,8",0,AM
4,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"4,8","1,2","8,0",,,"8,6","6,6",4,AM
4,DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"7,7","9,0","8,5",,,,"8,4",4,AM
4,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"10,0","4,4","7,4",,,,"7,3",4,AM
4,DEFE/CCE007,"RELAÇÕES ÉTNICO-RACIAIS, GÊNERO E DIVERSIDADE","9,0","8,0","10,0",,,,"9,0",4,AM
4,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"7,0","7,5","10,0",,,,"8,2",10,AM
4,DC/CCN042,COMPILADORES,"7,2","5,8","8,3",,,,"7,1",0,AM
4,DC/CCN032,COMPUTAÇÃO GRÁFICA,"6,0","6,3","7,0",,,"3,9","5,2",6,RN
4,DC/CCN044,ENGENHARIA DE SOFTWARE II,"6,0","9,0","8,0",,,,"7,7",0,AM
4,DC/CCN034,PROGRAMAÇÃO LINEAR,"7,3","10,0","8,5",,,,"8,6",0,AM
4,DC/CCN040,SEGURANÇA EM SISTEMAS,"3,6","5,7","9,1",,,"6,7","6,4",0,AM
4,DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"9,9","10,0","10,0",,,,"10,0",10,AM
4,DMAT/CCN034,ÁLGEBRA LINEAR,"8,5","7,5","2,0",,,"6,4","6,2",0,AM
4,DC/CCN039,ENGENHARIA DE SOFTWARE I,"8,2","10,0","7,5",,,,"8,6",4,AM
4,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"7,5","8,5","7,0",,,,"7,7",4,AM
4,DC/CCN035,REDES DE COMPUTADORES,"7,3","8,7","8,7",,,,"8,2",0,AM
4,DC/CCN033,SISTEMAS OPERACIONAIS,"9,5","4,5","9,0",,,,"7,7",14,AM
4,DC/CCN030,TEORIA DA COMPUTAÇÃO,"8,2","3,8","5,7",,,"7,5","6,7",4,AM
4,DMAT/CCN034,ÁLGEBRA LINEAR,"3,5","4,0","0,0",,,,"2,5",0,RN
4,DC/CCN031,ARQUITETURA DE COMPUTADORES,"6,8","7,6","8,0",,,,"7,5",6,AM
4,DC/CCN025,BANCO DE DADOS,"8,0","9,5","8,5",,,,"8,7",0,AM
4,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"8,0","9,8","10,0",,,,"9,3",0,AM
4,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"9,5","10,0","9,5",,,,"9,7",0,AM
4,DC/CCN029,CIRCUITOS DIGITAIS,"10,0","7,3","5,0",,,,"7,4",0,AM
4,DC/CCN022,ESTRUTURAS DE DADOS,"8,1","8,3","9,8",,,,"8,7",2,AM
4,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"10,0","9,3","4,0",,,,"7,8",0,AM
4,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"8,8","9,0","9,5",,,,"9,1",0,AM
4,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"8,4","5,8","8,5",,,,"7,6",0,AM
4,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"10,0","6,7","5,7",,,,"7,5",0,AM
4,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","7,0",,,,"7,0",0,AM
4,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"8,8","7,1","10,0",,,,"8,6",2,AM
4,DC/CCN021,INFORMÁTICA E SOCIEDADE,"7,4","7,4","7,4",,,,"7,4",0,AM
4,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"9,3","10,0","10,0",,,,"9,8",0,AM
4,DC/CCN019,INTRODUÇÃO À LÓGICA,"7,5","9,0","8,8",,,,"8,4",2,AM
4,DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"8,3","7,5","8,0",,,,"7,9",0,AM
4,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"6,8","9,0","8,9",,,,"8,2",2,AM
4,DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"8,0",,,,,,"8,0",6,AM
5,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"3,2","8,2","7,0",,,"5,7","5,9",4,RN
5,DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"7,1","8,0","10,0",,,,"8,4",2,AM
5,DC/CCN073,TÓPICOS EM PROGRAMAÇÃO,"7,5","4,5","8,0",,,"9,9","8,3",0,AM
5,DC/CCN081,VISÃO COMPUTACIONAL,"5,2","6,1","8,0",,,"0,9","3,6",0,RN
5,DC/CCN042,COMPILADORES,"9,2","8,0","6,4",,,,"7,9",4,AM
5,DC/CCN044,ENGENHARIA DE SOFTWARE II,"1,7","5,4","9,2",,,"8,2","6,8",8,AM
5,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"7,2","8,0","7,0",,,,"7,4",6,AM
5,DC/CCN058,SISTEMAS EMBARCADOS,"5,7","6,4","10,0",,,,"7,4",2,AM
5,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"3,3","6,9","9,0",,,"6,2","6,3",2,AM
5,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"9,5","7,0","6,3",,,,"7,6",6,AM
5,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"1,1","7,5","6,9",,,"5,2","5,2",6,RN
5,DC/CCN034,PROGRAMAÇÃO LINEAR,"5,1","3,9","10,0",,,"5,8","6,0",0,AM
5,DC/CCN040,SEGURANÇA EM SISTEMAS,"3,2","3,3","5,2",,,,"3,9",4,RN
5,DC/CCN068,TÓPICOS EM ARQUITETURA DE COMPUTADORES,"6,5","9,7","0,0",,,,"0,0",52,RF
5,DC/CCN032,COMPUTAÇÃO GRÁFICA,"5,1","5,7","6,2",,,"5,3","5,5",2,RN
5,DC/CCN039,ENGENHARIA DE SOFTWARE I,"7,5","4,4","7,5",,,"6,2","6,4",4,AM
5,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"4,5","9,1","7,5",,,,"7,0",0,AM
5,DC/CCN035,REDES DE COMPUTADORES,"4,6","5,5","6,0",,,"5,0","5,2",0,RN
5,DC/CCN033,SISTEMAS OPERACIONAIS,"7,7","4,9","6,0",,,"5,9","6,1",6,AM
5,DC/CCN030,TEORIA DA COMPUTAÇÃO,"2,0","5,2","4,0",,,,"3,7",2,RN
5,DC/CCN029,CIRCUITOS DIGITAIS,"9,8","10,0","10,0",,,,"9,9",2,AM
5,DC/CCN022,ESTRUTURAS DE DADOS,"8,1","7,9","9,0",,,,"8,3",0,AM
5,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"9,5","9,7","10,0",,,,"9,7",0,AM
5,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","7,0",,,,"7,0",0,AM
5,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"9,0","7,6","9,5",,,,"8,7",2,AM
5,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"8,8","10,0","7,5",,,,"8,8",2,AM
5,DC/CCN021,INFORMÁTICA E SOCIEDADE,"8,8","8,8","8,8",,,,"8,8",0,AM
5,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"10,0","10,0","10,0",,,,"10,0",0,AM
5,DC/CCN019,INTRODUÇÃO À LÓGICA,"10,0","9,5","10,0",,,,"9,8",0,AM
5,DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"6,9","9,0","8,0",,,,"8,0",0,AM
5,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"6,5","7,6","5,8",,,"9,0","7,8",0,AM
5,DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"10,0",,,,,,"10,0",0,AM
6,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"10,0","10,0","10,0",,,,"10,0",2,AM
6,DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"8,1","9,4","10,0",,,,"9,2",11,AM
6,DC/CCN048,PROGRAMAÇÃO FUNCIONAL,"6,5","9,0","10,0",,,,"8,5",0,AM
6,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"7,0","9,0","8,5",,,,"8,2",4,AM
6,DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"8,2","9,2","9,0",,,,"8,8",0,AM
6,DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"8,8","9,5","9,5",,,,"9,3",0,AM
6,DC/CCN044,ENGENHARIA DE SOFTWARE II,"9,5","9,0","9,0",,,,"9,2",2,AM
6,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"7,3","8,0","6,1",,,,"7,1",8,AM
6,DC/CCN040,SEGURANÇA EM SISTEMAS,"7,1","7,0","8,6",,,,"7,6",8,AM
6,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"9,8","9,1","10,0",,,,"9,6",12,AM
6,DC/CCN042,COMPILADORES,"9,8","7,1","6,9",,,,"7,9",7,AM
6,DC/CCN039,ENGENHARIA DE SOFTWARE I,"9,2","8,5","6,0",,,,"7,9",8,AM
6,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"10,0","9,5","9,5",,,,"9,7",0,AM
6,DC/CCN058,SISTEMAS EMBARCADOS,"9,0","10,0","10,0",,,,"9,7",0,AM
6,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"8,0","8,6","9,2",,,,"8,6",6,AM
6,DC/CCN035,REDES DE COMPUTADORES,"8,1","9,6","6,6",,,,"8,1",4,AM
6,DC/CCN033,SISTEMAS OPERACIONAIS,"6,7","8,5","9,1",,,,"8,1",6,AM
6,DC/CCN030,TEORIA DA COMPUTAÇÃO,"7,5","8,7","8,1",,,,"8,1",6,AM
6,DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,3","7,0","7,5",,,,"7,3",2,AM
6,DC/CCN032,COMPUTAÇÃO GRÁFICA,"9,5","7,4","10,0",,,,"9,0",6,AM
6,DC/CCN034,PROGRAMAÇÃO LINEAR,"5,2","9,5","9,2",,,,"8,0",0,AM
6,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"6,8","8,6","7,4",,,,"7,6",4,AM
6,DMAT/CCN034,ÁLGEBRA LINEAR,"10,0","7,0","6,3",,,,"7,8",0,AM
6,DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,0","0,0","0,0",,,,"2,3",0,RN
6,DC/CCN025,BANCO DE DADOS,"10,0","9,0","10,0",,,,"9,7",0,AM
6,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"9,8","10,0","9,6",,,,"9,8",0,AM
6,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"8,7","9,4","9,4",,,,"9,2",0,AM
6,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"8,8","10,0","10,0",,,,"9,6",0,AM
6,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,4","9,3","9,2",,,,"9,3",0,AM
6,DC/CCN029,CIRCUITOS DIGITAIS,"9,4","8,7","10,0",,,,"9,4",4,AM
6,DC/CCN022,ESTRUTURAS DE DADOS,"7,5","9,8","9,0",,,,"8,8",8,AM
6,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"9,9","7,3","8,0",,,,"8,4",6,AM
6,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
6,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"5,0","10,0","10,0",,,,"8,3",6,AM
6,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"7,5","10,0","8,5",,,,"8,7",0,AM
6,DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,1","9,1","9,1",,,,"9,1",0,AM
6,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"9,3","8,3","10,0",,,,"9,2",4,AM
6,DC/CCN019,INTRODUÇÃO À LÓGICA,"9,8","9,5","10,0",,,,"9,8",0,AM
